volume_number,start_page_label,macropaedia_contents_name,propaedia_name,britannica_title,britannica_url,confidence,source_image_relative_path,notes
2,685,BALTIC STATES,,,,draft,,
2,708,BANGKOK,,,,draft,,
2,711,BANGLADESH,,,,draft,,
2,721,BARCELONA,,,,draft,,
2,723,BASEBALL,,,,draft,,
2,737,BEETHOVEN,,,,draft,,
2,744,Animal BEHAVIOUR,,,,draft,,
2,829,The Development of Human BEHAVIOUR,,,,draft,,
2,844,BEIRUT,,,,draft,,
2,847,BELARUS,,,,draft,,
2,853,BELGIAN LITERATURE,,,,draft,,
2,857,BELGIUM,,,,draft,,
2,871,BERLIN,,,,draft,,
2,878,BEVERAGE PRODUCTION,,,,draft,,
2,898,BHUTAN,,,,draft,,
2,903,BIBLICAL LITERATUrE and Its Critical Interpretation,,,,draft,,
2,1069,The BIOLOGICAL SCIENCES,,,,draft,,
2,1127,The BIosPHErE and Concepts of Ecology,,,,draft,,
3,1,BIRDS,,,,draft,,
3,113,BIRTH CONTROL,,,,draft,,
3,121,BISMARCK,,,,draft,,
3,125,BLOOD,,,,draft,,
3,155,BOHR,,,,draft,,
3,157,BOLIVIA,,,,draft,,
3,169,BOMBAY (MUMBAI),,,,draft,,
3,172,BOSTON,,,,draft,,
3,177,BOXING,,,,draft,,
3,185,BRAZIL,,,,draft,,
3,210,BROADCASTING,,,,draft,,
3,247,BRUSSELS,,,,draft,,
3,252,BRYOPHYTES,,,,draft,,
3,258,BUDAPEST,,,,draft,,
3,263,The Buddha and BUDDHISM,,,,draft,,
3,306,BUENOS AIRES,,,,draft,,
3,312,BUILDING CONSTRUCTION,,,,draft,,
3,340,BUSINESS LAW,,,,draft,,
3,366,BUSINESS ORGANIZATION,,,,draft,,
3,377,The History of the BYZANTINE EMPIRE,,,,draft,,
3,402,CAESAR,,,,draft,,
3,407,CAIRO,,,,draft,,
3,412,CALCUTTA,,,,draft,,
3,417,CALENDAR,,,,draft,,
3,435,Calvin and CALVINISM,,,,draft,,
3,440,CANADA,,,,draft,,
3,514,CANADIAN LITERATURE,,,,draft,,
3,519,CANCER,,,,draft,,
3,528,CANTON (GUANGZHOU),,,,draft,,
3,531,CAPE TOWN,,,,draft,,
3,535,CARACAS,,,,draft,,
3,539,"CARICATURE, CARTOON, AND COMIC STRIP",,,,draft,,
3,553,Descartes and CARTESIANISM,,,,draft,,
3,561,Domestic CATS,,,,draft,,
3,565,CELLS: Their Structures and Functions,,,,draft,,
3,594,CELTIC LITERATURE,,,,draft,,
3,612,CENTRAL AFRICA,,,,draft,,
3,653,CENTRAL AMERICA,,,,draft,,
3,701,CENTRAL ASIA,,,,draft,,
3,716,CENTRAL ASIAN ARTS,,,,draft,,
3,737,CERVANTES,,,,draft,,
3,741,CHARLEMAGNE,,,,draft,,
3,745,CHAUCER,,,,draft,,
3,749,CHEMICAL BONDING,,,,draft,,
3,777,CHEMICAL COMPOUNDS,,,,draft,,
3,932,CHEMICAL ELEMENTS,,,,draft,,
3,1039,CHEMICAL REACTIONS,,,,draft,,
3,1100,CHESS,,,,draft,,
4,1,CHICAGO,,,,draft,,
4,9,CHILDHOOD DISEASES,,,,draft,,
4,21,CHILE,,,,draft,,
4,36,CHINA,,,,draft,,
4,231,CHINESE LITERATURE,,,,draft,,
4,241,CHORDATES,,,,draft,,
4,251,CHRISTIANITY,,,,draft,,
4,367,CHUNGKING (CHONGOING),,,,draft,,
4,371,CHURCHILL,,,,draft,,
4,377,CIRCULATION AND CIRCULATORY SYSTEMS,,,,draft,,
4,418,CIRCUS,,,,draft,,
4,425,CITIES,,,,draft,,
4,436,CLIMATE AND WEATHER,,,,draft,,
4,523,CNIDARIANS,,,,draft,,
4,529,COINS AND COINAGE,,,,draft,,
4,556,COLLECTIVE BEHAVIOUR,,,,draft,,
4,568,COLOGNE,,,,draft,,
4,571,COLOMBIA,,,,draft,,
4,585,Biological COLORATION,,,,draft,,
4,595,COLOUR,,,,draft,,
4,605,COLUMBUS,,,,draft,,
4,611,COMMUNICATION,,,,draft,,
4,617,COMPUTER CRIME,,,,draft,,
4,621,COMPUTER SCIENCE,,,,draft,,
4,630,COMPUTERS,,,,draft,,
4,653,Confucius and CONFUCIANISM,,,,draft,,
4,663,CONSERVATION OF SPECIES,,,,draft,,
4,687,CONSTANTINE the Great,,,,draft,,
4,690,CONSTITUTION AND CONSTITUTIONAL GOVERNMENT,,,,draft,,
4,695,CONSTITUTIONAL LAW,,,,draft,,
4,704,CONTINENTAL LANDFORMS,,,,draft,,
4,760,COPERNICUS,,,,draft,,
4,762,The Cosmos,,,,draft,,
4,796,CRIME AND PUNISHMENT,,,,draft,,
4,817,CRIMINAL LAW,,,,draft,,
4,822,The CRUSADES,,,,draft,,
4,840,CRUSTACEANS,,,,draft,,
4,860,CRYPTOLOGY,,,,draft,,
4,874,The Concept and Components of CULTURE,,,,draft,,
4,894,CYPRUS,,,,draft,,
4,902,CZECH AND SLOVAK REPUBLICS,,,,draft,,
4,931,DAMASCUS,,,,draft,,
4,935,The Art of DANCE,,,,draft,,
4,958,The History of Western DANCE,,,,draft,,
4,971,DANTE,,,,draft,,
4,977,DARWIN,,,,draft,,
4,982,DEATH,,,,draft,,
5,1,DECORATIVE ARTS AND FURNISHINGS,,,,draft,,
5,221,DELHI,,,,draft,,
5,226A,DEMOCRACY,,,,draft,,
5,227,DENMARK,,,,draft,,
5,269,DICKENS,,,,draft,,
5,315,DINOSAURS,,,,draft,,
5,330,DIPLOMACY,,,,draft,,
5,341,DISEASE,,,,draft,,
5,394,Religious DOCTRINES AND DOGMAS,,,,draft,,
5,440,DOGS,,,,draft,,
5,451,DOSTOYEVSKY,,,,draft,,
5,455,DRAFTING,,,,draft,,
5,460,DRAWING,,,,draft,,
5,478,DRESS AND ADORNMENT,,,,draft,,
5,529,DRUGS AND DRUG ACTION,,,,draft,,
5,561,DUBLIN,,,,draft,,
5,566,DUTCH LITERATURE,,,,draft,,
5,569,"The EARTH: Its Properties, Composition, and Structure",,,,draft,,
5,615,The EARTH SCIENCES,,,,draft,,
5,655,EARTHQUAKES,,,,draft,,
5,667,EAST ASIAN ARTS,,,,draft,,
5,772,EASTERN AFRICA,,,,draft,,
5,838,EASTERN ORTHODOXY,,,,draft,,
5,857,ECHINODERMS,,,,draft,,
5,866,"ECLIPSE, OCCULTATION, AND TRANSIT",,,,draft,,
5,878,ECONOMIC GROWTH AND PLANNING,,,,draft,,
5,908,ECONOMIC SYSTEMS,,,,draft,,
5,916,ECONOMIC THEORY,,,,draft,,
5,953,ECUADOR,,,,draft,,
5,963,EDINBURGH,,,,draft,,
5,970,EDISON,,,,draft,,
6,1H,History of EDUCATION,,,,draft,,
6,91,EGYPT,,,,draft,,
6,145,Ancient EGYPTIAN ARTS AND ARCHITECTURE,,,,draft,,
6,155,EINSTEIN,,,,draft,,
6,159,ELECTRICITY AND MAGNETISM,,,,draft,,
6,195,ELECTROMAGNETIC RADIATION,,,,draft,,
6,212,ELECTRONIC GAMES,,,,draft,,
6,215,ELECTRONICS,,,,draft,,
6,243,ELIZABETH I of England,,,,draft,,
6,248,Human EMoTION,,,,draft,,
6,257,ENCYCLOPAEDIAS AND DICTIONARIES,,,,draft,,
6,287,ENDOCRINE SYSTEMS,,,,draft,,
6,332,ENERGY CONVERSION,,,,draft,,
6,414,ENGINEERING,,,,draft,,
6,426,ENGLISH LITERATURE,,,,draft,,
6,466,ENVIRONMENTALISM AND ENVIRONMENTAL LAW,,,,draft,,
6,472,EPISTEMOLOGY,,,,draft,,
6,489,ERASMUS,,,,draft,,
6,492,ETHICS,,,,draft,,
6,522,EUROPE,,,,draft,,
6,590,EUROPEAN HISTORY AND CULTURE,,,,draft,,
6,728,The History of EUROPEAN OVERSEAS EXPLORATION AND EMPIRES,,,,draft,,
6,763,Ancient EUROPEAN RELIGIONS,,,,draft,,
6,803,Mount EVEREST,,,,draft,,
6,812,Human EVOLUTION,,,,draft,,
6,855,The Theory of EVOLUTION,,,,draft,,
7,1,EXCRETION AND EXCRETORY SYSTEMS,,,,draft,,
7,28,EXERCISE AND PHYSICAL CONDITIONING,,,,draft,,
7,33,EXPLORATION,,,,draft,,
7,59,FAMILY AND KINSHIP,,,,draft,,
7,76,FAMILY LAW,,,,draft,,
7,84,FARADAY,,,,draft,,
7,87,FArMIng and Agricultural Technology,,,,draft,,
7,160,FEMINISM,,,,draft,,
7,163,FERNS AND OTHER LOWER VASCULAR PLANTS,,,,draft,,
7,179,FINLAND,,,,draft,,
7,192,FISHES,,,,draft,,
7,277,Commercial FISHING,,,,draft,,
7,294,FLATWORMS: Phylum Platyhelminthes,,,,draft,,
7,300,FLORENCE,,,,draft,,
7,306,FOLK ARTS,,,,draft,,
7,339,FOOD PROCESSING,,,,draft,,
7,407,Henry FORD,,,,draft,,
7,410,FORESTRY AND WOOD PRODUCTION,,,,draft,,
7,427,FRANCE,,,,draft,,
7,531,FRANKLIN,,,,draft,,
7,534,FREDERICK the Great,,,,draft,,
7,539,FRENCH LITERATURE,,,,draft,,
7,566,FREUD,,,,draft,,
7,572,Fossil FUELS,,,,draft,,
7,597,FUNGI,,,,draft,,
7,611,GALAXIES,,,,draft,,
7,638,GALILEO,,,,draft,,
7,641,GAME THEORY,,,,draft,,
7,648,GANDHI,,,,draft,,
7,653,GARDEN AND LANDSCAPE DESIGN,,,,draft,,
7,670,GARDENING AND HORTICULTURE,,,,draft,,
7,689,GASTRONOMY,,,,draft,,
7,697,GAUSS,,,,draft,,
7,699,The Principles of GENETICS AND HEREDITY,,,,draft,,
7,741,GENEVA,,,,draft,,
7,745,GENGHIS KHAN,,,,draft,,
7,877,GEOGRAPHY,,,,draft,,
7,887,GEOMETRY,,,,draft,,
8,1,GEOMORPHIC PROCESSES,,,,draft,,
8,27,GERMAN LITERATURE,,,,draft,,
8,39,GERMANY,,,,draft,,
8,131,GLOBAL WARMING,,,,draft,,
8,133,GLOBALIZATION AND CULTURE,,,,draft,,
8,138,GOETHE,,,,draft,,
8,141,The Forms of GovERNMENT: Their Historical Development,,,,draft,,
8,148,GOVERNMENT FINANCE,,,,draft,,
8,160,GRAPHIC DESIGN,,,,draft,,
8,169,GRAVITATION,,,,draft,,
8,178,GREECE,,,,draft,,
8,205,Ancient GREEK AND RoMAN CIVILIZATIONS,,,,draft,,
8,342,"The Classical GREEK DRAMATISTS: Aeschylus, Sophocles, Euripides, and Aristophanes",,,,draft,,
8,352,GREEK LITERATURE,,,,draft,,
8,361,Biological GRowTH AND DevELOPMENT,,,,draft,,
8,441,GUYANA,,,,draft,,
8,447,GYMNOSPERMS,,,,draft,,
8,466,The House of HABSBURG,,,,draft,,
8,472,HAMBURG,,,,draft,,
8,475A,HARLEM RENAISSANCE,,,,draft,,
8,476,HARVEY,,,,draft,,
8,479,HAVANA,,,,draft,,
8,483,HEBREW LITERATURE,,,,draft,,
8,487,Hegel and HEGELIANISM,,,,draft,,
8,498,HEISENBERG,,,,draft,,
8,500,HELMHOLTZ,,,,draft,,
8,503,HERALDRY,,,,draft,,
8,519,HINDUISM,,,,draft,,
8,559,The Study of HISTORY,,,,draft,,
8,624,HITLER,,,,draft,,
8,629,The HOLOCAUST,,,,draft,,
8,635,The HOMERIC EPICS,,,,draft,,
8,639,HONG KONG,,,,draft,,
8,646,HORSES AND HORSEMANSHIP,,,,draft,,
8,656,HUMAN RIGHTS,,,,draft,,
8,665,HUMANISM,,,,draft,,
8,678,HUME,,,,draft,,
8,682,HUMOUR AND WIT,,,,draft,,
8,689,HUNGARIAN LITERATURE,,,,draft,,
8,693,HUNGARY,,,,draft,,
8,715,The HYDROSPHERE,,,,draft,,
8,732,ICE AND ICE FORMATIONS,,,,draft,,
8,760,ICELAND,,,,draft,,
8,768,IDEOLOGY,,,,draft,,
8,773,IMMUNITY,,,,draft,,
9,176,INDIA,,,,draft,,
9,213,INDUSTRIAL CERAMICS,,,,draft,,
9,246,INDONESIA,,,,draft,,
9,266,INDUSTRIAL ENGINEERING AND PRODUCTION MANAGEMENT,,,,draft,,
9,295,INDUSTRIAL GLASS,,,,draft,,
9,308,INDUSTRIAL POLYMERS,,,,draft,,
9,344,Extraction and Processing INDUSTRIES,,,,draft,,
9,385,Chemical Process INDUSTRIES,,,,draft,,
9,535,Manufacturing INDUSTRIES,,,,draft,,
9,570,Textile INDUSTRIES,,,,draft,,
9,589,INFECTIOUS DISEASES,,,,draft,,
9,615,INFORMATION PROCESSING,,,,draft,,
9,625,INFORMATION SYSTEMS,,,,draft,,
9,631,INFORMATION THEORY,,,,draft,,
9,638,INHERITANCE AND SUCCESSION,,,,draft,,
9,648,INSECTS,,,,draft,,
9,741,INSURANCE,,,,draft,,
9,755,INTEGUMENTARY SYSTEMS,,,,draft,,
9,775,Human INTELLIGENCE,,,,draft,,
9,781,INTELLIGENCE AND COUNTERINTELLIGENCE,,,,draft,,
9,788,INTERNATIONAL LAW,,,,draft,,
9,797,20th-Century INTERNATIONAL RELATIONS,,,,draft,,
9,900,INTERNATIONAL TRADE,,,,draft,,
9,930,IRAN,,,,draft,,
9,972,IRAQ,,,,draft,,
9,997,IRELAND,,,,draft,,
10,1,Muhammad and the Religion of ISLĂM,,,,draft,,
10,44,ISLAMIC ARTS,,,,draft,,
10,103,The ISLAMIC WORLD,,,,draft,,
10,134,ISRAEL,,,,draft,,
10,150,ISTANBUL,,,,draft,,
10,155,ITALIAN LITERATURE,,,,draft,,
10,165,ITALY,,,,draft,,
10,247,JAINISM,,,,draft,,
10,254,JAKARTA,,,,draft,,
10,258,JAPAN,,,,draft,,
10,312,JAPANESE LITERATURE,,,,draft,,
10,323,JEFFERSON,,,,draft,,
10,328,JERUSALEM,,,,draft,,
10,336,JESUS: TheChrist and Christology,,,,draft,,
10,354,JOAN OF ARC,,,,draft,,
10,358,JOHANNESBURG,,,,draft,,
10,363,Samuel JOHNSON,,,,draft,,
10,370,JORDAN,,,,draft,,
10,379,JUDAISM,,,,draft,,
10,457,JUDICIAL AND ARBITRATIONAL SYSTEMS,,,,draft,,
10,469,Kant and KANTIANISM,,,,draft,,
10,478,KARĀCHI,,,,draft,,
10,482,KELVIN,,,,draft,,
10,484,KEPLER,,,,draft,,
10,487,KIEV,,,,draft,,
10,491,KINSHASA,,,,draft,,
10,494,KOREA,,,,draft,,
10,515,KOREAN LITERATURE,,,,draft,,
10,521,The KOREAN WAR,,,,draft,,
10,528,KYÕTO,,,,draft,,
10,531,LAKES,,,,draft,,
10,540,LAND REFORM AND TENURE,,,,draft,,
10,548,LANGUAGE,,,,draft,,
10,572,LANGUAGES OF THE WORLD,,,,draft,,
10,797,The History of LATIN AMERICA,,,,draft,,
10,827,LATIN-AMERICAN LITERATURE,,,,draft,,
10,833,LATIN LITERATURE,,,,draft,,
10,841,LAVOISIER,,,,draft,,
10,843,The Profession and Practice of LAW,,,,draft,,
10,854,Animal LEARNING,,,,draft,,
10,870,Human LEARNING AND COGNITION,,,,draft,,
10,889,LEBANON,,,,draft,,
10,902,The Evolution of Modern Western LEGAL SYSTEMS,,,,draft,,
10,932,LENIN,,,,draft,,
10,939,LEONARDO DA VINCI,,,,draft,,
10,947,LIBRARIES,,,,draft,,
10,964,LIFE,,,,draft,,
11,29,LIMA,,,,draft,,
11,33,LINCOLN,,,,draft,,
11,40,LINGUISTICS,,,,draft,,
11,72,LISBON,,,,draft,,
11,77,The Art of LITERATURE,,,,draft,,
11,216,The History of Western LITERATURE,,,,draft,,
11,221,LOCKE,,,,draft,,
11,225,The History and Kinds of LOGIC,,,,draft,,
11,283,LONDON,,,,draft,,
11,299,LOS ANGELES,,,,draft,,
11,305,LUTHER,,,,draft,,
11,314,LUXEMBOURG,,,,draft,,
11,319,MADAGASCAR,,,,draft,,
11,329,MADRID,,,,draft,,
11,334,MALTA,,,,draft,,
11,339,MAMMALS,,,,draft,,
11,460,MANCHESTER,,,,draft,,
11,464,MANILA,,,,draft,,
11,468,MAO ZEDONG,,,,draft,,
11,473,MAPPING AND SURVEYING,,,,draft,,
11,495,MARKETING AND MERCHANDISING,,,,draft,,
11,509,MARKETS,,,,draft,,
11,526,MARSEILLE,,,,draft,,
11,531,Marx and MARXISM,,,,draft,,
11,544,MASKS,,,,draft,,
11,552,MATERIALS SCIENCE,,,,draft,,
11,566,The Foundations of MATHEMATICS,,,,draft,,
11,575,The History of East Asian MATHEMATICS,,,,draft,,
11,580,The History of South Asian MATHEMATICS,,,,draft,,
11,583,The History of Western MATHEMATICS,,,,draft,,
11,612,"MATTER: Its Properties, States, Varieties, and Behaviour",,,,draft,,
11,691,MAXWELL,,,,draft,,
11,693,MEASUREMENT SYSTEMS,,,,draft,,
11,698,MECCA AND MEDINA,,,,draft,,
11,702,"MECHANICS: Energy, Forces, and Their Effects",,,,draft,,
11,774,MEDICINE,,,,draft,,
11,829,MELBOURNE,,,,draft,,
11,832,MEMORY,,,,draft,,
11,841,MENTAL DISORDErS and Their Treatment,,,,draft,,
11,860,The History of Ancient MESOPOTAMIA,,,,draft,,
11,893,METABOLISM,,,,draft,,
12,27,MEXICO,,,,draft,,
12,51,MEXICO CITY,,,,draft,,
12,55,MICHELANGELO,,,,draft,,
12,61,MICROSCOPES,,,,draft,,
12,74,Ancient MIDDLE EASTERN ARTS AND ARCHITECTURE,,,,draft,,
12,91,Ancient MIDDLE EASTERN RELIGIONS,,,,draft,,
12,129,MILAN,,,,draft,,
12,134,MILTON,,,,draft,,
12,138,John Stuart MILL,,,,draft,,
12,144,MIMICRY,,,,draft,,
12,152,The Philosophy of MIND,,,,draft,,
12,162,MINERALS AND ROCKS,,,,draft,,
12,280,MODERNIZATION AND INDUSTRIALIZATION,,,,draft,,
12,292,MOLIÈRE,,,,draft,,
12,296,MOLLUSKS,,,,draft,,
12,323,MONET,,,,draft,,
12,325,MONEY,,,,draft,,
12,330,MONGOLIA,,,,draft,,
12,343,MONTAIGNE,,,,draft,,
12,346,MONTREAL,,,,draft,,
12,350,Moscow,,,,draft,,
12,361,MOSES,,,,draft,,
12,365,Moss ANIMALS: Phylum Bryozoa,,,,draft,,
12,369,MOTION PICTURES,,,,draft,,
12,436,Human MOTIVATION,,,,draft,,
12,445,MOZART,,,,draft,,
12,480,MUSEUMS,,,,draft,,
12,493,The Art of MusIc,,,,draft,,
12,553,The History of Western MUSIC,,,,draft,,
12,565,MUSICAL FORMS AND GENRES,,,,draft,,
12,651,MUSICAL INSTRUMENTS,,,,draft,,
12,707,MYSTERY RELIGIONS,,,,draft,,
12,715,MYTH AND MYTHOLOGY,,,,draft,,
12,733,NAMES,,,,draft,,
12,739,NANKING (NANJING),,,,draft,,
12,741A,NANOTECHNOLOGY,,,,draft,,
12,742,NAPLES,,,,draft,,
12,748,NAPOLEON,,,,draft,,
12,756,NAVIGATION,,,,draft,,
12,767,NEBULA,,,,draft,,
12,777,NEPAL,,,,draft,,
12,784,NERVES AND NERVOUS SYSTEMS,,,,draft,,
12,864,The NETHERLANDS,,,,draft,,
12,897,NEW ORLEANS,,,,draft,,
12,902,NEW YORK CITY,,,,draft,,
12,916,NEW ZEALAND,,,,draft,,
12,931,NEWTON,,,,draft,,
12,936,NIETZSCHE,,,,draft,,
12,939,NORTH AFRICA,,,,draft,,
12,997,NORTH AMERICA,,,,draft,,
12,1082,NORWAY,,,,draft,,
13,1,NUMBER GAMES and Other Mathematical Recreations,,,,draft,,
13,14,NUMBER THEORY,,,,draft,,
13,38,NUMERICAL ANALYSIS,,,,draft,,
13,50,NUTRITION,,,,draft,,
13,76,OCCULTISM,,,,draft,,
13,99,OCCUPATIONAL DISEASES AND DISORDERS,,,,draft,,
13,104,OCEANIC ARTS,,,,draft,,
13,134,OCEANS,,,,draft,,
13,197,OLYMPIC GAMES,,,,draft,,
13,202,Principles of OPTICS,,,,draft,,
13,217,The Mathematical Theory of OPTIMIZATION,,,,draft,,
13,227,ÖSAKA-KOBE METROPOLITAN AREA,,,,draft,,
13,231,PACIFIC ISLANDS,,,,draft,,
13,302,The PACIFIC OCEAN,,,,draft,,
13,318,The Art of PAINTING,,,,draft,,
13,336,The History of Western PAINTING,,,,draft,,
13,393,PAKISTAN,,,,draft,,
13,407,PALESTINE,,,,draft,,
13,425,PARAGUAY,,,,draft,,
13,434,PARIS,,,,draft,,
13,449,PARTICLE ACCELERATORS,,,,draft,,
13,458,PASCAL,,,,draft,,
13,461,PASTEUR,,,,draft,,
13,463,The Apostle PAUL,,,,draft,,
13,467,PEKING (BELJING),,,,draft,,
13,481,Human PERCEPTION,,,,draft,,
13,503,PERSONALITY,,,,draft,,
13,515,PERU,,,,draft,,
13,528,"PETER I the Great, of Russia",,,,draft,,
13,532,PHILADELPHIA,,,,draft,,
13,537,PHILIPPINES,,,,draft,,
13,550,PHILOSOPHICAL ANTHROPOLOGY,,,,draft,,
13,562,Western PHILOSOPHICAL SCHOOLS AND DOCTRINES,,,,draft,,
13,652,PHILOSOPHIES OF THE BRANCHES OF KNOWLEDGE,,,,draft,,
13,733,The History of Western PHILOSOPHY,,,,draft,,
13,761,PHOTOGRAPHY,,,,draft,,
13,799,PHOTOSYNTHESIS,,,,draft,,
13,807,Principles of PHYSICAL SCIENCE,,,,draft,,
13,828,The PHYSICAL SCIENCES,,,,draft,,
13,860,PICASSO,,,,draft,,
13,865,PLANCK,,,,draft,,
13,867,PLANTS,,,,draft,,
13,883,PLATE TECTONICS,,,,draft,,
13,893,Plato and PLATONISM,,,,draft,,
13,908,POISONS AND POISONING,,,,draft,,
13,930,POLAND,,,,draft,,
13,957,POLICE,,,,draft,,
13,973,POLISH LITERATURE,,,,draft,,
13,979,POLITICAL PARTIES AND INTEREST GROUPS,,,,draft,,
13,991,The History of Western POLITICAL PHILOSOPHY,,,,draft,,
13,1004,POLITICAL SYSTEMS,,,,draft,,
13,1032,Jackson POLLOCK,,,,draft,,
13,1034,POPULATION,,,,draft,,
13,1044,PORTUGAL,,,,draft,,
13,1063,PORTUGUESE LITERATURE,,,,draft,,
13,1067,POSTAL SYSTEMS,,,,draft,,
13,1077,PRAGUE,,,,draft,,
14,45,PREHISTORIC PEOPLES AND CULTURES,,,,draft,,
14,71,"PRINTING, TYPOGRAPHY, AND PHOTOENGRAVING",,,,draft,,
14,112,PRINTMAKING,,,,draft,,
14,135,PROBABILITY THEORY,,,,draft,,
14,149,PROCEDURAL LAW,,,,draft,,
14,171,PROPAGANDA,,,,draft,,
14,180,PROPERTY LAW,,,,draft,,
14,206,PROTESTANTISM,,,,draft,,
14,268,PROTISTS,,,,draft,,
14,279,PROTOZOA,,,,draft,,
14,289,PSYCHOLOGICAL TESTS AND MEASUREMENT,,,,draft,,
14,294,PUBLIC ADMINISTRATION,,,,draft,,
14,310,PUBLIC OPINION,,,,draft,,
14,317,PUBLIC WORKS,,,,draft,,
14,415,PUBLISHING,,,,draft,,
14,450,PUPPETRY,,,,draft,,
14,458,RADAR,,,,draft,,
14,471,RADIATION,,,,draft,,
14,501,RELATIVITY,,,,draft,,
14,509,The Study and Classification of RELIGIONS,,,,draft,,
14,530,Systems of RELIGIOUS AND SPIRITUAL BELIEF,,,,draft,,
14,578,RELIGIOUS EXPERIENCE,,,,draft,,
14,591,RELIGIOUS SYMBOLISM AND ICONOGRAPHY,,,,draft,,
14,600,REMBRANDT VAN RIJN,,,,draft,,
14,609,REPRODUCTION AND REPRODUCTIVE SYSTEMS,,,,draft,,
14,688,REPTILES,,,,draft,,
14,725,RESPIRATION AND RESPIRATORY SYSTEMS,,,,draft,,
14,758,RHETORIC,,,,draft,,
14,765,RIO DE JANEIRO,,,,draft,,
14,770,Sacred RITES AND CEREMONIES,,,,draft,,
14,843,RIVERS,,,,draft,,
14,870,Rock MusIc,,,,draft,,
14,877,ROMAN CATHOLICISM,,,,draft,,
14,914,ROME,,,,draft,,
14,933,Franklin D. ROOSEVELT,,,,draft,,
14,938,Jean-Jacques ROUSSEAU,,,,draft,,
14,943,RUSSIA,,,,draft,,
14,1003,RUSSIAN LITERATURE,,,,draft,,
14,1012,RUTHERFORD,,,,draft,,
14,1014,SACRED OFFICES AND ORDERS,,,,draft,,
14,1037,SAINT PETERSBURG,,,,draft,,
15,10,SCANDINAVIAN LITERATUrE,,,,draft,,
15,22,Classical SCHOLARSHIP,,,,draft,,
15,32,The History of SCIENCE,,,,draft,,
15,42A,SCIENCE FICTION,,,,draft,,
15,43,The Art of SCULPTURE,,,,draft,,
15,60,The History of Western ScuLPTURE,,,,draft,,
15,115,SENSORY RECEPTION,,,,draft,,
15,223,SEOUL,,,,draft,,
15,226,SET THEORY,,,,draft,,
15,233,SEX AND SEXUALITY,,,,draft,,
15,253,SHAKESPEARE,,,,draft,,
15,273,SHANGHAI,,,,draft,,
15,278,SHINTO,,,,draft,,
15,284,SIKHISM,,,,draft,,
15,288,SLAVERY,,,,draft,,
15,301,SLEEP AND DREAMS,,,,draft,,
15,312,Adam SMITH,,,,draft,,
