part_number,capture_sequence,block_index,section_code,propaedia_page_reference,image_relative_path,header_context,topic_summary,extracted_count,risky_recommendation_count,extracted_titles,review_status,visual_title_count,missing_titles,extra_titles,notes
1,12,1,132,55,propaedia_pages/part_1/propaedia-2010-part-01-photo-12.jpg,Division III. Section 132,Major articles dealing with galaxies and stars,5,2,"Cosmos, The | Galaxies | Nebula | Physical Sciences, The | Stars and Star Clusters",verified,,,,
1,13,1,133,58,propaedia_pages/part_1/propaedia-2010-part-01-photo-13.jpg,58 Part One. Matter and Energy,Major articles dealing with the solar system. See also Section 211 of Part Two,5,3,"Calendar | Earth, The: Its Properties, Composition, and Structure | Eclipse, Occultation, and Transit | Physical Sciences, The | Solar System, The",verified,,,,
2,1,1,211,66,propaedia_pages/part_2/propaedia-2010-part-02-photo-01.jpg,66 Part Two. The Earth,Major articles dealing with the planet Earth,2,2,"Earth, The: Its Properties, Composition, and Structure | Solar System, The",verified,,,,
2,2,1,212,67,propaedia_pages/part_2/propaedia-2010-part-02-photo-02.jpg,Division I. Section 212,Major articles dealing with the Earth's physical properties,3,1,"Earth, The: Its Properties, Composition, and Structure | Minerals and Rocks | Volcanism",verified,,,,
2,3,1,213,68,propaedia_pages/part_2/propaedia-2010-part-02-photo-03.jpg,68 Part Two. The Earth,Major articles dealing with the structure and composition of the Earth's interior,2,1,"Earth, The: Its Properties, Composition, and Structure | Earthquakes",verified,,,,
2,4,1,214,71,propaedia_pages/part_2/propaedia-2010-part-02-photo-04.jpg,Division I. Section 214,Major articles dealing with the Earth's constituent minerals and rocks,5,2,"Chemical Elements | Earth, The: Its Properties, Composition, and Structure | Fuels, Fossil | Minerals and Rocks | Volcanism",verified,,,,
2,5,1,221,74,propaedia_pages/part_2/propaedia-2010-part-02-photo-05.jpg,74 Part Two. The Earth,Major article dealing with the atmosphere,1,0,Atmosphere,verified,,,,
2,6,1,222,76,propaedia_pages/part_2/propaedia-2010-part-02-photo-06.jpg,76 Part Two. The Earth,"Major articles dealing with the hydrosphere: the oceans, freshwater bodies, and ice masses",6,2,"Earth, The: Its Properties, Composition, and Structure | Lakes | Oceans | Hydrosphere, The | Rivers | Ice and Ice Formations",verified,,,,
2,7,1,223,78,propaedia_pages/part_2/propaedia-2010-part-02-photo-07.jpg,78 Part Two. The Earth,Major article dealing with weather and climate,1,0,Climate and Weather,verified,,,,
2,8,1,231,80,propaedia_pages/part_2/propaedia-2010-part-02-photo-08.jpg,80 Part Two. The Earth,Major articles dealing with the physical features of the Earth's surface,5,1,"Continental Landforms | Earth, The: Its Properties, Composition, and Structure | Oceans | Plate Tectonics | Volcanism",verified,,,,
2,9,1,232,84,propaedia_pages/part_2/propaedia-2010-part-02-photo-09.jpg,84 Part Two. The Earth,Major articles dealing with the features produced by geomorphic processes acting on the Earth's surface,9,1,"Lakes | Continental Landforms | Oceans | Earth, The: Its Properties, Composition, and Structure | Rivers | Soils | Geomorphic Processes | Volcanism | Ice and Ice Formations",verified,,,,
2,10,1,241,86,propaedia_pages/part_2/propaedia-2010-part-02-photo-10.jpg,86 Part Two. The Earth,Major articles dealing with the origin and development of the tarth and ils enverope,4,1,"Atmosphere | Earth, The: Its Properties, Composition, and Structure | Plate Tectonics | Volcanism",verified,,,,
2,11,1,242,88,propaedia_pages/part_2/propaedia-2010-part-02-photo-11.jpg,88 Part Two. The Barth,Major articles dealing with the interpretation of the geologic record,2,1,"Earth, The: Its Properties, Composition, and Structure | Geochronology: The Interpretation and Dating of the Geologic Record",verified,,,,
2,12,1,243,89,propaedia_pages/part_2/propaedia-2010-part-02-photo-12.jpg,Division IV. Section 243,Major articles dealing with the eras and periods of geologic time,3,1,"Earth, The: Its Properties, Composition, and Structure | Geochronology: The Interpretation and Dating of the Geologic Record | Volcanism",verified,,,,
3,1,1,311,96,propaedia_pages/part_3/propaedia-2010-part-03-photo-01.jpg,96 Part Three. Life on Earth,Major articles dealing with the characteristics of living things,19,6,"Growth and Development, Biological | Animals | Life | Bacteria and Other Monerans | Metabolism | Behaviour, Animal | Mimicry | Biological Sciences, The | Photosynthesis | Biosphere, The | Plants | Cells: Their Structures and Functions | Protists | Coloration, Biological | Reproduction and Reproductive Systems | Evolution, The Theory of | Sensory Reception | Fungi | Genetics and Heredity, The Principles of",verified,,,,
3,2,1,312,97,propaedia_pages/part_3/propaedia-2010-part-03-photo-02.jpg,Division I. Section 312,Major articles and a biography dealing with the origin of life and the evolution of living things,5,3,"Coloration, Biological | Darwin | Evolution, Human | Evolution, The Theory of | Mimicry",verified,,,,
3,3,1,313,100,propaedia_pages/part_3/propaedia-2010-part-03-photo-03.jpg,100 Part Three. Life on Earth,,32,7,Algae | Amphibians | Angiosperms: The Flowering Plants | Animals | Annelids | Arachnids | Arthropods | Aschelminths | Bacteria and Other Monerans | Birds | Bryophytes | Chordates | Cnidarians | Crustaceans | Dinosaurs | Echinoderms | Ferns and Other Lower Vascular Plants | Fishes | Flatworms: Phylum Platyhelminthes | Fungi | Gymnosperms | Insects | Lamp Shells: Phylum Brachiopoda | Mammals | Mollusks | Moss Animals: Phylum Bryozoa | Plants | Protists | Protozoa | Reptiles | Sponges: Phylum Porifera | Viruses,verified,,,,
3,4,1,321,113,propaedia_pages/part_3/propaedia-2010-part-03-photo-04.jpg,Division II. Section 321,Major articles dealing with chemicals and the vital processes,5,0,Drugs and Drug Action | Biochemical Components of Organisms | Poisons and Poisoning | Cells: Their Structures and Functions | Chemical Compounds,verified,,,,
3,5,1,322,115,propaedia_pages/part_3/propaedia-2010-part-03-photo-05.jpg,Division II. Section 322,Major articles dealing with metabolism: bioenergetics and biosynthesis,3,0,Cells: Their Structures and Functions | Metabolism | Photosynthesıs,verified,,,,
3,6,1,323,116,propaedia_pages/part_3/propaedia-2010-part-03-photo-06.jpg,116 Part Three. Life on Earth,Major articles dealing with vital processes at the molecular level,4,0,Cells: Their Structures and Functions | Electricity and Magnetism | Muscles and Muscle Systems | Nerves and Nervous Systems,verified,,,,
3,7,1,331,118,propaedia_pages/part_3/propaedia-2010-part-03-photo-07.jpg,118 Part Three. Life on Earth,Major article dealing with the cellular basis of form and function,1,0,Cells: Their Structures and Functions,verified,,,,
3,8,1,332,119,propaedia_pages/part_3/propaedia-2010-part-03-photo-08.jpg,Division III. Section 332,Major articles dealing with the relation of form and function in organisms,14,0,Integumentary Systems | Animals | Muscles and Muscle Systems | Blood | Nerves and Nervous Systems | Cells: Their Structures and Functions | Plants | Circulation and Circulatory Systems | Reproduction and Reproductive Systems | Digestion and Digestive Systems | Respiration and Respiratory Systems | Endocrine Systems | Supportive and Connective Tissues | Excretion and Excretory Systems,verified,,,,
3,9,1,333,121,propaedia_pages/part_3/propaedia-2010-part-03-photo-09.jpg,Division III. Section 333,Major articles dealing with the coordination of vital processes: regulation and integration,3,0,Endocrine Systems | Nerves and Nervous Systems | Sensory Reception,verified,,,,
3,10,1,334,123,propaedia_pages/part_3/propaedia-2010-part-03-photo-10.jpg,Division III. Section 334,"Major articles dealing with covering and support: integumentary, skeletal, and musculatory systems",3,0,Integumentary Systems | Muscles and Muscle Systems | Supportive and Connective Tissues,verified,,,,
3,11,1,335,124,propaedia_pages/part_3/propaedia-2010-part-03-photo-11.jpg,124 Part Three. Life on Earth,Major articles dealing with nutrition: the procurement and processing of nutrients,2,0,Digestion and Digestive Systems | Nutrition,verified,,,,
3,12,1,336,125,propaedia_pages/part_3/propaedia-2010-part-03-photo-12.jpg,Division III. Section 336,"Major articles dealing with gas exchange, internal transport, and elimination",4,0,Cells: Their Structures and Functions | Circulation and Circulatory Systems | Excretion and Excretory Systems | Respiration and Respiratory Systems,verified,,,,
3,13,1,337,127,propaedia_pages/part_3/propaedia-2010-part-03-photo-13.jpg,Division III. Section 337,Major articles dealing with reproduction and sex,3,1,"Behaviour, Animal | Reproduction and Reproductive Systems | Sex and Sexuality",verified,,,,
3,14,1,338,128,propaedia_pages/part_3/propaedia-2010-part-03-photo-14.jpg,128 Part Three. Life on Earth,"Major articles dealing with development: growth, differentiation, and morphogenesis",2,1,"Death | Growth and Development, Biological",verified,,,,
3,15,1,339,129,propaedia_pages/part_3/propaedia-2010-part-03-photo-15.jpg,Division III. Section 339,Major article dealing with heredity: the transmission of traits,1,1,"Genetics and Heredity, The Principles of",verified,,,,
3,16,1,341,130,propaedia_pages/part_3/propaedia-2010-part-03-photo-16.jpg,130 Part Three. Life on Earth,Major article dealing with the nature and patterns of behavioral responses,1,1,"Behaviour, Animal",verified,,,,
3,17,1,342,131,propaedia_pages/part_3/propaedia-2010-part-03-photo-17.jpg,Division IV. Section 342,Major articles dealing with the development and range of behavioral capacities: ındividual and group behaviour,2,2,"Behaviour, Animal | Learning, Animal",verified,,,,
3,18,1,351,133,propaedia_pages/part_3/propaedia-2010-part-03-photo-18.jpg,Division V. Section 351,Major article dealing with the basic features of the biosphere,1,0,"Biosphere, The",verified,,,,
3,19,1,352,134,propaedia_pages/part_3/propaedia-2010-part-03-photo-19.jpg,134 Part Three. Life on Earth,Major articles dealing with biological populations and communities,2,1,"Behaviour, Animal | Biosphere, The",verified,,,,
3,20,1,353,135,propaedia_pages/part_3/propaedia-2010-part-03-photo-20.jpg,Division V. Section 353,Major articles dealing with hazards of life in the biosphere: disease and death,3,0,Death | Disease | Immunity,verified,,,,
3,21,1,354,137,propaedia_pages/part_3/propaedia-2010-part-03-photo-21.jpg,Division V. Section 354,Major articles dealing with biogeographic distribution of organisms: ecosystems,5,1,"Biosphere and Concepts of Ecology, The | Rivers | Trees | Lakes | Oceans",verified,,,,
3,22,1,355,138,propaedia_pages/part_3/propaedia-2010-part-03-photo-22.jpg,138 Part Three. Life on Earth,Major articles dealing with the place of humans in the biosphere,8,2,"Farming and Agricultural Technology | Biosphere and Concepts of Ecology, The | Forestry and Wood Production | Cats, Domestic | Gardening and Horticulture | Conservation of Natural Resources | Horses and Horsemanship | Dogs",verified,,,,
4,1,1,411,144,propaedia_pages/part_4/propaedia-2010-part-04-photo-01.jpg,144 Part Four. Human Life,Major articles dealing with human evolution,2,1,"Evolution, Human | Life",verified,,,,
4,2,1,412,145,propaedia_pages/part_4/propaedia-2010-part-04-photo-02.jpg,Division I. Section 412,Major articles dealing with human heredity: the races of mankind,3,2,"Evolution, Human | Genetics and Heredity, The Principles of | Life",verified,,,,
4,3,1,421,148,propaedia_pages/part_4/propaedia-2010-part-04-photo-03.jpg,Part Four. Human Life,Major articles dealing with the structures and functions of the human body,14,10,Biochemical Components of Organisms | Blood | Circulation and Circulatory Systems | Digestion and Digestive Systems | Endocrine Systems | Excretion and Excretory Systems | Integumentary Systems | Muscles and Muscle Systems | Nerves and Nervous Systems | Nutrition | Reproduction and Reproductive Systems | Respiration and Respiratory Systems | Sensory Reception | Supportive and Connective Tissues,verified,,,,
4,4,1,422,151,propaedia_pages/part_4/propaedia-2010-part-04-photo-04.jpg,Division II. Section 422,Major articles dealing with human health,4,0,Death | Exercise and Physical Conditioning | Immunity | Nutrition,verified,,,,
4,5,1,423,153,propaedia_pages/part_4/propaedia-2010-part-04-photo-05.jpg,Division II. Section 423,Major articles dealing with human diseases,21,12,"Blood | Cancer | Childhood Diseases and Disorders | Circulation and Circulatory Systems | Diagnosis and Therapeutics | Digestion and Digestive Systems | Disease | Endocrine Systems | Excretion and Excretory Systems | Immunity | Infectious Diseases | Integumentary Systems | Metabolism | Muscles and Muscle Systems | Nerves and Nervous Systems | Nutrition | Poisons and Poisoning | Respiration and Respiratory Systems | Sensory Reception | Supportive and Connective Tissues | Transplants, Organ and Tissue",verified,,,,
4,6,1,424,159,propaedia_pages/part_4/propaedia-2010-part-04-photo-06.jpg,Division II. Section 424,Major articles dealing withthe practice of medicine and the care of health,3,0,Birth Control | Medicine | Occupational Diseases and Disorders,verified,,,,
4,7,1,431,161,propaedia_pages/part_4/propaedia-2010-part-04-photo-07.jpg,Division III. Section 431,Major article dealing with human nature and experience: general considerations,1,1,"Behaviour, The Development of Human",verified,,,,
4,8,1,432,163,propaedia_pages/part_4/propaedia-2010-part-04-photo-08.jpg,Division III. Section 432,"Major articles dealing with the influence of the current environment on a person's behaviour and conscious experience: attention, sensation, and perception",2,1,"Attention | Perception, Human",verified,,,,
4,9,1,433,164,propaedia_pages/part_4/propaedia-2010-part-04-photo-09.jpg,164 Part Four. Human Life,Major articles dealing with the current internal states affecting a person's behaviour and conscious experience,4,2,"Sex and Sexuality | Emotion, Human | Sleep and Dreams | Motivation, Human",verified,,,,
4,10,1,434,165,propaedia_pages/part_4/propaedia-2010-part-04-photo-10.jpg,Division III. Section 434,Major articles dealing with the persisting capacities and inclinations that influence human behaviour and conscious experience,2,1,"Intelligence, Human | Psychological Tests and Measurement",verified,,,,
4,10,2,435,165,propaedia_pages/part_4/propaedia-2010-part-04-photo-10.jpg,Division III. Section 435,Major articles dealing with the development of a person's potentials: learning and thinking,3,1,"Learning and Cognition, Human | Memory | Thought and Thought Processes",verified,,,,
4,11,1,436,167,propaedia_pages/part_4/propaedia-2010-part-04-photo-11.jpg,Division III. Section 436,Major articles and a biography dealing with personality and the self: integration and disintegration of the person as a whole,3,1,Freud | Mental Disorders and Their Treatment | Personality,verified,,,,
5,1,1,511,175,propaedia_pages/part_5/propaedia-2010-part-05-photo-01.jpg,Division I. Section 511,Major articles dealing with the peoples and cultures of the world,16,3,"Africa | American Peoples, Native | Eastern Africa | Arctic, The | Europe | Asia | North Africa | Pacific Islands | Asian Peoples and Cultures | Australia | Transcaucasia | Central Africa | West Indies | Western Africa | Central Asia | Culture, The Concept and Components of",verified,,,,
5,2,1,512,178,propaedia_pages/part_5/propaedia-2010-part-05-photo-02.jpg,178 Part Five. Human Society,Major articles dealing with the development of human culture,4,2,"Culture, The Concept and Components of | Social Sciences, The | Modernization and Industrialization | Social Structure and Change",verified,,,,
5,3,1,513,179,propaedia_pages/part_5/propaedia-2010-part-05-photo-03.jpg,Division I. Section 513,Major articles dealing with major cultural components and institutions of human societies,5,3,"Culture, The Concept and Components of | Family and Kinship | Inheritance and Succession | Social Sciences, The | Sports, Major Team and Individual",verified,,,,
5,4,1,514,183,propaedia_pages/part_5/propaedia-2010-part-05-photo-04.jpg,Division I. Section 514,Major articles dealing with language and communication,9,0,Linguistics | Communication | Names | Cryptology | Speech | Humour and Wit | Writing | Language | Languages of the World,verified,,,,
5,5,1,521,187,propaedia_pages/part_5/propaedia-2010-part-05-photo-05.jpg,Division II. Section 521,Major articles dealing with social structure and change,9,1,"Public Opinion | Collective Behaviour | Social Sciences, The | Crime and Punishment | Social Structure and Change | Globalization | Workand Employment | Modernization and Industrialization | Propaganda",verified,,,,
5,6,1,522,189,propaedia_pages/part_5/propaedia-2010-part-05-photo-06.jpg,Division II. Section 522,MACKOPAEDIA: Major articles dealing with the group structure of society,6,1,"Alcohol and Drug Consumption | Crime and Punishment | Social Sciences, The | Family and Kinship | Social Welfare | Sex and Sexuality",verified,,,,
5,7,1,523,190,propaedia_pages/part_5/propaedia-2010-part-05-photo-07.jpg,190 Part Five. Human Society,Major articles dealing with social status,2,1,"Slavery | Social Sciences, The",verified,,,,
5,8,1,524,191,propaedia_pages/part_5/propaedia-2010-part-05-photo-08.jpg,Division III. Section 524,Major articles dealing with human populations: urban and rural communities,6,1,"Birth Control | Modernization and Industrialization | Cities | Population | Climate and Weather | Social Sciences, The",verified,,,,
5,9,1,531,192,propaedia_pages/part_5/propaedia-2010-part-05-photo-09.jpg,Part Five. Human Society,"Major articles dealing with economic concepts, issues, and systems",4,0,Government Finance | Economic Systems | International Trade | Economic Theory,verified,,,,
5,10,1,532,193,propaedia_pages/part_5/propaedia-2010-part-05-photo-10.jpg,Division III. Section 532,Major articles dealing with the consumer and the market: pricing and the mechanisms for distributing goods,5,1,"Markets | Economic Theory | Social Sciences, The | Government Finance | International Trade",verified,,,,
5,11,1,533,196,propaedia_pages/part_5/propaedia-2010-part-05-photo-11.jpg,196 Part Five. Human Society,Major articles dealing with the organization of production and distribution,13,7,"Accounting | Banks and Banking | Business Organization | Coins and Coinage | Economic Growth and Planning | Economic Theory | Government Finance | Insurance | International Trade | Marketing and Merchandising | Markets | Social Sciences, The | Work and Employment",pending,,,,
5,12,1,534,199,propaedia_pages/part_5/propaedia-2010-part-05-photo-12.jpg,Division III. Section 534,Major articles dealing with the distribution of income and wealth,7,1,"Economic Theory | Government Finance | Social Sciences, The | International Trade | Social Welfare | Land Reform and Tenure | Taxation",pending,,,,
5,13,1,535,200,propaedia_pages/part_5/propaedia-2010-part-05-photo-13.jpg,200 Part Five. Human Society,Major articles dealing with macroeconomics,4,1,"Economic Theory | Government Finance | International Trade | Social Sciences, The",pending,,,,
5,14,1,536,201,propaedia_pages/part_5/propaedia-2010-part-05-photo-14.jpg,Division III. Section 536,Major articles dealing with economic growth and planning,5,1,"Economic Growth and Planning | Economic Theory | Government Finance | International Trade | Social Sciences, The",pending,,,,
5,15,1,541,203,propaedia_pages/part_5/propaedia-2010-part-05-photo-15.jpg,Division IV. Section 541,Major articles dealing with political theory,8,3,"Constitution and Constitutional Government | Political Parties and Interest Groups | Democracy | Social Sciences, The | Human Rights | Socio-Economic Doctrines and Reform Movements, Modern | Ideology | Marxism, Marx and",pending,,,,
5,16,1,542,204,propaedia_pages/part_5/propaedia-2010-part-05-photo-16.jpg,204 Part Five. Human Society,"Major articles dealing with political institutions: the structure, branches and offices of government",5,2,"Cities | Political Systems | Government, The Forms of: Their Historical Development | Public Administration | Social Sciences, The",pending,,,,
5,17,1,543,205,propaedia_pages/part_5/propaedia-2010-part-05-photo-17.jpg,Division IV. Section 543,Major articles dealing with the functioning of government: the dynamics of the political process,6,1,"Political Parties and Interest Groups | Censorship | Political Systems | Crime and Punishment | Social Sciences, The | Police",pending,,,,
5,18,1,544,207,propaedia_pages/part_5/propaedia-2010-part-05-photo-18.jpg,Division IV. Section 544,Majoavwticles dealing with international relations: peace and war,5,2,"Diplomacy | Intelligence and Counterintelligence | United Nations | Social Sciences, The | War, The Theory and Conduct of",pending,,,,
5,19,1,551,209,propaedia_pages/part_5/propaedia-2010-part-05-photo-19.jpg,Division V. Section 551,Major articles dealing with the philosophies and systems of law; the practice of law,2,2,"Law, The Profession and Practice of | Legal Systems, The Evolution of Modern Western",pending,,,,
5,20,1,552,211,propaedia_pages/part_5/propaedia-2010-part-05-photo-20.jpg,Division V. Section 552,"Major articles dealing with branches of public law, substantive and procedural",9,1,"Constitutional Law | Criminal Law | Public Administration | International Law | Taxation | Judicial and Arbitrational Systems | United Nations | Procedural Law | War, The Theory and Conduct of",pending,,,,
5,21,1,553,214,propaedia_pages/part_5/propaedia-2010-part-05-photo-21.jpg,214 Part Five. Human Society,"Major articles dealing with branches of private law, substantive and procedural",7,0,Property Law | Business Law | Torts | Family Law | Transportation Law | Inheritance and Succession | Procedural Law,pending,,,,
5,22,1,561,215,propaedia_pages/part_5/propaedia-2010-part-05-photo-22.jpg,Division VI. Section 561,Major articles dealing with the aims and organization of education,2,0,Philosophies of the Branches of Knowledge | Teaching,pending,,,,
5,23,1,562,217,propaedia_pages/part_5/propaedia-2010-part-05-photo-23.jpg,Division VI. Section 562,Major articles dealing with education around the world,2,1,"Education, History of | Teaching",pending,,,,
